#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_austria;Austria;Austria;Austria;;Austria;;;;;;;;;x
e_austria_adj;Austrian;;austrer;;;;;;;;;;;x
e_bilad_as_sam;Bilad aš-Šam;Bilad aš-Šam;Bilad aš-Šam;;Bilad aš-Šam;;;;;;;;;x
e_bilad_as_sam_adj;Bilad aš-Šamian;;Bilad aš-Šamer;;;;;;;;;;;x
e_ceskoslovensko;Ceskoslovensko;Ceskoslovensko;Ceskoslovensko;;Ceskoslovensko;;;;;;;;;x
e_ceskoslovensko_adj;Ceskoslovenskian;;ceskoslovensker;;;;;;;;;;;x
e_deutsches_reich;Deutsches Reich;Deutsches Reich;Deutsches Reich;;Deutsches Reich;;;;;;;;;x
e_deutsches_reich_adj;Deutsches Reichian;;Deutsches Reicher;;;;;;;;;;;x
e_espana;España;España;España;;España;;;;;;;;;x
e_espana_adj;Españan;;españer;;;;;;;;;;;x
e_ethiopia;Ethiopia;Ethiopia;Ethiopia;;Ethiopia;;;;;;;;;x
e_ethiopia_adj;Ethiopian;;ethioper;;;;;;;;;;;x
e_france;France;France;France;;France;;;;;;;;;x
e_france_adj;Francean;;francer;;;;;;;;;;;x
e_greece;Greece;Greece;Greece;;Greece;;;;;;;;;x
e_greece_adj;Greecean;;greecer;;;;;;;;;;;x
e_india;India;India;India;;India;;;;;;;;;x
e_india_adj;Indian;;inder;;;;;;;;;;;x
e_iran;Iran;Iran;Iran;;Iran;;;;;;;;;x
e_iran_adj;Iranian;;iraner;;;;;;;;;;;x
e_italia;Italia;Italia;Italia;;Italia;;;;;;;;;x
e_italia_adj;Italian;;italer;;;;;;;;;;;x
e_jugoslavija;Jugoslavija;Jugoslavija;Jugoslavija;;Jugoslavija;;;;;;;;;x
e_jugoslavija_adj;Jugoslavijan;;jugoslavijer;;;;;;;;;;;x
e_netherlands;Netherlands;Netherlands;Netherlands;;Netherlands;;;;;;;;;x
e_netherlands_adj;Netherlandsian;;netherlandser;;;;;;;;;;;x
e_nigeria;Nigeria;Nigeria;Nigeria;;Nigeria;;;;;;;;;x
e_nigeria_adj;Nigerian;;nigerer;;;;;;;;;;;x
e_pakistan;Pakistan;Pakistan;Pakistan;;Pakistan;;;;;;;;;x
e_pakistan_adj;Pakistanian;;pakistaner;;;;;;;;;;;x
e_poland_lithuania;Poland-Lithuania;Poland-Lithuania;Poland-Lithuania;;Poland-Lithuania;;;;;;;;;x
e_poland_lithuania_adj;Poland-Lithuanian;;poland-lithuaner;;;;;;;;;;;x
e_portugal;Portugal;Portugal;Portugal;;Portugal;;;;;;;;;x
e_portugal_adj;Portugalian;;portugaler;;;;;;;;;;;x
e_romania;România;România;România;;România;;;;;;;;;x
e_romania_adj;Românian;;româner;;;;;;;;;;;x
e_russia;Russia;Russia;Russia;;Russia;;;;;;;;;x
e_russia_adj;Russian;;russer;;;;;;;;;;;x
e_scandinavia;Scandinavia;Scandinavia;Scandinavia;;Scandinavia;;;;;;;;;x
e_scandinavia_adj;Scandinavian;;scandinaver;;;;;;;;;;;x
e_the_united_kingdom;The United Kingdom;The United Kingdom;The United Kingdom;;The United Kingdom;;;;;;;;;x
e_the_united_kingdom_adj;The United Kingdomian;;The United Kingdomer;;;;;;;;;;;x
e_turan;Turan;Turan;Turan;;Turan;;;;;;;;;x
e_turan_adj;Turanian;;turaner;;;;;;;;;;;x
e_turkey;Turkey;Turkey;Turkey;;Turkey;;;;;;;;;x
e_turkey_adj;Turkeian;;turkeer;;;;;;;;;;;x
e_maghreb;Maghreb;Maghreb;;Maghreb;;Maghreb;;;;;;;;;x
e_maghreb_agj;Maghrebi;;maghrebite;;;;;;;;;;;x
e_arabia;Jazirat al-Arab;Jazirat al-Arab;Jazirat al-Arab;;Jazirat al-Arab;;;;;;;;;x
e_arabia_adj;Arab;;arabic;;;;;;;;;;;x
e_sweden;Sweden;Sweden;Sweden;;Sweden;;;;;;;;;x
e_sweden_adj;Swedish;;swede;;;;;;;;;;;x
e_finland;Finland;Finland;Finland;;Finland;;;;;;;;;x
e_finland_adj;Finnish;finn;;;;;;;;;;;x
e_byzantium;Byzantium;Byzantium;Byzantium;;Byzantium;;;;;;;;;x
e_byzantium_adj;Byzantine;;greek;;;;;;;;;;;x
